City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Faanui,PF,2022-07-13 15:29:44,-16.4833,-151.75,77.52,76,6,15.97,light rain
60,Kahului,US,2022-07-13 15:29:44,20.8947,-156.47,76.84,91,100,11.99,light rain
61,Hambantota,LK,2022-07-13 15:29:45,6.1241,81.1185,80.94,83,20,9.22,few clouds
62,Petatlan,MX,2022-07-13 15:29:45,17.5167,-101.2667,76.8,67,80,2.64,broken clouds
63,Sete,FR,2022-07-13 15:29:45,43.4018,3.6966,84.87,56,1,10.11,clear sky
64,Akdagmadeni,TR,2022-07-13 15:29:46,39.6603,35.8836,70.12,49,0,14.47,clear sky
65,Vega De Alatorre,MX,2022-07-13 15:29:46,20.0333,-96.6333,85.1,65,77,3.42,broken clouds
66,Kondinskoye,RU,2022-07-13 15:29:46,59.6481,67.41,76.48,64,42,2.84,scattered clouds
67,Itarema,BR,2022-07-13 15:29:46,-2.9248,-39.9167,86.85,56,40,15.19,scattered clouds
68,Marcavelica,PE,2022-07-13 15:29:47,-4.8778,-80.7053,69.84,64,80,6.4,broken clouds
69,Ballina,AU,2022-07-13 15:29:47,-28.8667,153.5667,50.02,70,1,13.67,clear sky
70,Barrow,US,2022-07-13 15:29:47,71.2906,-156.7887,37.42,87,100,8.05,light rain
71,Luau,AO,2022-07-13 15:29:48,-10.7073,22.2247,83.62,18,0,4.34,clear sky
72,Sambava,MG,2022-07-13 15:29:48,-14.2667,50.1667,72.54,80,48,15.95,light rain
73,Tasiilaq,GL,2022-07-13 15:29:48,65.6145,-37.6368,51.96,80,20,4.45,few clouds
74,Gat,IL,2022-07-13 15:27:00,31.61,34.7642,85.78,100,0,13.04,clear sky
75,Paamiut,GL,2022-07-13 15:29:49,61.994,-49.6678,43.02,85,58,16.8,broken clouds
76,Prainha,BR,2022-07-13 15:29:49,-1.8,-53.48,87.67,54,78,4.12,broken clouds
77,Hithadhoo,MV,2022-07-13 15:29:30,-0.6,73.0833,83.68,73,95,14.99,overcast clouds
78,Ranot,TH,2022-07-13 15:29:49,7.7777,100.3213,80.83,81,100,10.07,overcast clouds
79,Lagoa,PT,2022-07-13 15:29:50,39.05,-27.9833,69.3,93,100,14.32,overcast clouds
80,Kavieng,PG,2022-07-13 15:29:50,-2.5744,150.7967,81.48,76,100,7.05,light rain
81,Avarua,CK,2022-07-13 15:29:50,-21.2078,-159.775,73.45,64,75,6.91,broken clouds
82,Sukabumi,ID,2022-07-13 15:29:51,-6.9181,106.9267,69.89,97,99,2.21,light rain
83,Prado,BR,2022-07-13 15:29:51,-17.3411,-39.2208,78.55,60,7,7.61,clear sky
84,High Level,CA,2022-07-13 15:29:51,58.5169,-117.136,62.71,63,40,5.75,scattered clouds
85,Kayes,ML,2022-07-13 15:29:52,14.0,-11.0,92.84,46,44,6.6,scattered clouds
86,Charters Towers,AU,2022-07-13 15:29:52,-20.1,146.2667,49.64,50,0,11.72,clear sky
87,Shakiso,ET,2022-07-13 15:29:52,5.75,38.9167,66.85,64,96,2.86,overcast clouds
88,Carauari,BR,2022-07-13 15:29:52,-4.8828,-66.8958,88.32,57,74,2.24,broken clouds
89,Srednekolymsk,RU,2022-07-13 15:29:19,67.45,153.6833,58.82,62,100,11.65,overcast clouds
90,Cape Town,ZA,2022-07-13 15:27:38,-33.9258,18.4232,57.61,88,75,20.71,moderate rain
91,Imeni Zhelyabova,RU,2022-07-13 15:29:53,58.9544,36.5956,73.72,51,73,5.03,broken clouds
92,Jumla,NP,2022-07-13 15:29:53,29.2747,82.1838,64.56,93,100,4.23,overcast clouds
93,Kiama,AU,2022-07-13 15:29:53,-34.6833,150.8667,53.38,67,93,7.0,overcast clouds
94,Nouadhibou,MR,2022-07-13 15:29:54,20.931,-17.0347,75.18,73,12,23.02,sand
95,East London,ZA,2022-07-13 15:28:54,-33.0153,27.9116,63.54,63,0,3.44,clear sky
96,Mahebourg,MU,2022-07-13 15:29:54,-20.4081,57.7,71.26,73,75,11.5,broken clouds
97,Talnakh,RU,2022-07-13 15:29:26,69.4865,88.3972,51.21,56,99,3.8,overcast clouds
