City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Pa Daet,TH,76.15,overcast clouds,19.5049,99.9924,วัชชระ วรรณะสุข
141,Miles City,US,76.17,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
142,Krasnogvardeyets,RU,81.0,scattered clouds,52.6804,52.3635,
145,Banda Aceh,ID,80.28,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
147,Utete,TZ,76.53,broken clouds,-7.986,38.758,River View Lodge
149,Ribeira Grande,PT,81.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
150,Atuona,PF,77.97,scattered clouds,-9.8,-139.0333,Villa Enata
151,La Cruz,MX,85.24,overcast clouds,23.9167,-106.9,Jesús angel
154,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
156,Bethel,US,85.19,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
157,Dong Hoi,VN,79.5,light rain,17.4833,106.6,Nam Long Hotel
158,Boende,CD,86.58,overcast clouds,-0.2167,20.8667,
160,Xinzhou,CN,75.88,clear sky,38.4092,112.7333,Shell Hotel - Xinzhou
161,Chabahar,IR,87.42,few clouds,25.2919,60.643,هتل گدروشیا
164,Meulaboh,ID,79.16,overcast clouds,4.1363,96.1285,Kost Pria
166,Hualmay,PE,65.91,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
168,Warren,US,83.39,clear sky,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
169,Afrikanda,RU,70.72,broken clouds,67.4429,32.7828,
173,Guanica,PR,89.06,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
174,Antalaha,MG,70.63,broken clouds,-14.9003,50.2788,Hotel Vitasoa
178,Wajima,JP,75.42,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
179,Beloha,MG,65.21,clear sky,-25.1667,45.05,
180,Takoradi,GH,76.3,overcast clouds,4.8845,-1.7554,Raybow International Hotel
181,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
183,Pascagoula,US,82.56,clear sky,30.3658,-88.5561,Regency Inn
185,Avera,US,80.11,light rain,33.194,-82.5271,
